,F1,AUC,Mean Minority Recall
"('ecoli', 'Logistic Regression', 'No Sampling')",0.0,0.9443559718969554,0.0
"('ecoli', 'Logistic Regression', 'SMOTE')",0.578025641025641,0.9443559718969556,0.8857142857142858
"('ecoli', 'Logistic Regression', 'ADASYN')",0.5215071897249756,0.939617486338798,0.8857142857142858
"('ecoli', 'Logistic Regression', 'Undersampling')",0.46358974358974364,0.9248946135831382,0.9428571428571428
"('ecoli', 'Logistic Regression', 'Oversampling')",0.5631111111111111,0.9396096799375488,0.8857142857142858
"('ecoli', 'Logistic Regression', 'Gamma')",0.5773393665158371,0.9443715846994534,0.8857142857142858
"('ecoli', 'Random Forest', 'No Sampling')",0.5528205128205129,0.9288446526151443,0.5142857142857142
"('ecoli', 'Random Forest', 'SMOTE')",0.6254901960784314,0.9303629976580796,0.6857142857142857
"('ecoli', 'Random Forest', 'ADASYN')",0.6120915032679738,0.9275761124121779,0.6857142857142857
"('ecoli', 'Random Forest', 'Undersampling')",0.5347647714604237,0.9344808743169398,0.9714285714285713
"('ecoli', 'Random Forest', 'Oversampling')",0.5322344322344323,0.9248048399687743,0.5142857142857142
"('ecoli', 'Random Forest', 'Gamma')",0.5991880341880342,0.9278337236533958,0.6285714285714284
"('ecoli', 'SVM', 'No Sampling')",0.0,0.9467369242779078,0.0
"('ecoli', 'SVM', 'SMOTE')",0.57661392042197,0.9414910226385637,0.8857142857142858
"('ecoli', 'SVM', 'ADASYN')",0.49603385120626503,0.9258235753317721,0.8857142857142858
"('ecoli', 'SVM', 'Undersampling')",0.48200000000000004,0.9243871975019516,0.9428571428571428
"('ecoli', 'SVM', 'Oversampling')",0.5410256410256411,0.9319750195160031,0.8857142857142858
"('ecoli', 'SVM', 'Gamma')",0.5636633855169324,0.9410304449648713,0.9142857142857143
"('ecoli', 'KNN', 'No Sampling')",0.5905011655011655,0.8761241217798595,0.5714285714285714
"('ecoli', 'KNN', 'SMOTE')",0.5717799847211611,0.8664207650273223,0.7142857142857142
"('ecoli', 'KNN', 'ADASYN')",0.5654551398258493,0.8628415300546448,0.7428571428571429
"('ecoli', 'KNN', 'Undersampling')",0.5556923076923077,0.9258665105386419,0.9714285714285713
"('ecoli', 'KNN', 'Oversampling')",0.573821967506178,0.8657025761124121,0.6857142857142857
"('ecoli', 'KNN', 'Gamma')",0.5428215994531784,0.8725917252146761,0.7428571428571429
"('letter_img', 'Logistic Regression', 'No Sampling')",0.6266069279573072,0.9844657637847478,0.49049482806821365
"('letter_img', 'Logistic Regression', 'SMOTE')",0.5491849068328276,0.9877444834459332,0.9645512999720436
"('letter_img', 'Logistic Regression', 'ADASYN')",0.4617977895648405,0.982909435699028,0.9536576274345354
"('letter_img', 'Logistic Regression', 'Undersampling')",0.4749500293837231,0.9850406014340489,0.9740844282918648
"('letter_img', 'Logistic Regression', 'Oversampling')",0.537874880317127,0.9877949204402782,0.9659118441897308
"('letter_img', 'Logistic Regression', 'Gamma')",0.5438290409314667,0.9876488888882736,0.9659118441897308
"('letter_img', 'Random Forest', 'No Sampling')",0.9580971606634847,0.9998648075094195,0.9250396048830491
"('letter_img', 'Random Forest', 'SMOTE')",0.9641584688580858,0.9998846271984011,0.9386916410399776
"('letter_img', 'Random Forest', 'ADASYN')",0.9597093771755196,0.9998604238397897,0.9318702823595191
"('letter_img', 'Random Forest', 'Undersampling')",0.7810583151113575,0.9988208581380308,0.986357282639083
"('letter_img', 'Random Forest', 'Oversampling')",0.9605303495861053,0.9998597408771974,0.9332121889851832
"('letter_img', 'Random Forest', 'Gamma')",0.9612080253110102,0.9998670980909667,0.9332308265772061
"('letter_img', 'SVM', 'No Sampling')",0.7468215724612666,0.9817810718206997,0.6266890317770943
"('letter_img', 'SVM', 'SMOTE')",0.5583287502797779,0.98690633042195,0.9672723884074177
"('letter_img', 'SVM', 'ADASYN')",0.45493164743955994,0.9819694349322778,0.9549995340601993
"('letter_img', 'SVM', 'Undersampling')",0.49649037572267457,0.985890804988316,0.9754542913055634
"('letter_img', 'SVM', 'Oversampling')",0.547488825490227,0.9869154878507302,0.9672723884074177
"('letter_img', 'SVM', 'Gamma')",0.5517851428365855,0.9869982300278431,0.9672723884074177
"('letter_img', 'KNN', 'No Sampling')",0.9781423034083104,0.9977954460286214,0.9782126549249837
"('letter_img', 'KNN', 'SMOTE')",0.9624354937936526,0.9980508568909358,0.9945578231292517
"('letter_img', 'KNN', 'ADASYN')",0.9643776722487776,0.9981057519975305,0.9959183673469386
"('letter_img', 'KNN', 'Undersampling')",0.5235992264547928,0.9859519944147367,0.9959183673469388
"('letter_img', 'KNN', 'Oversampling')",0.9718383215430195,0.9974925576369928,0.9877457832448048
"('letter_img', 'KNN', 'Gamma')",0.9537000250433577,0.9972355258108496,0.9931972789115646
"('optical_digits', 'Logistic Regression', 'No Sampling')",0.8269293724447453,0.9834858703641451,0.7636199836199836
"('optical_digits', 'Logistic Regression', 'SMOTE')",0.7888925530982313,0.9836898781450379,0.9152170352170351
"('optical_digits', 'Logistic Regression', 'ADASYN')",0.7174334407864604,0.9783748560390674,0.9224570024570025
"('optical_digits', 'Logistic Regression', 'Undersampling')",0.7423771233016329,0.981069100161666,0.9386404586404586
"('optical_digits', 'Logistic Regression', 'Oversampling')",0.765787035507427,0.9831962768852435,0.9368550368550368
"('optical_digits', 'Logistic Regression', 'Gamma')",0.7801677227076229,0.9833363536431345,0.917018837018837
"('optical_digits', 'Random Forest', 'No Sampling')",0.8840432531221444,0.9989274280894753,0.7924651924651925
"('optical_digits', 'Random Forest', 'SMOTE')",0.9294866874208356,0.9993191982557159,0.8736936936936937
"('optical_digits', 'Random Forest', 'ADASYN')",0.9081754323939399,0.9988691890305528,0.8412285012285012
"('optical_digits', 'Random Forest', 'Undersampling')",0.8992595431419508,0.9975469860081446,0.963947583947584
"('optical_digits', 'Random Forest', 'Oversampling')",0.9252575282498811,0.9991695948253014,0.8646683046683048
"('optical_digits', 'Random Forest', 'Gamma')",0.926624462451675,0.9993481179110308,0.8647338247338248
"('optical_digits', 'SVM', 'No Sampling')",0.8422260434052449,0.9816542952559354,0.7852907452907452
"('optical_digits', 'SVM', 'SMOTE')",0.7920244419191503,0.9831536962769402,0.918837018837019
"('optical_digits', 'SVM', 'ADASYN')",0.7190852411438172,0.9765751860208539,0.9170352170352171
"('optical_digits', 'SVM', 'Undersampling')",0.7366721584907241,0.9805605926822419,0.9441113841113842
"('optical_digits', 'SVM', 'Oversampling')",0.7713448547494253,0.9820894201720385,0.9422932022932023
"('optical_digits', 'SVM', 'Gamma')",0.7857504774279974,0.9821102027298398,0.9278624078624078
"('optical_digits', 'KNN', 'No Sampling')",0.9788085377508761,0.992476920719384,0.9638329238329237
"('optical_digits', 'KNN', 'SMOTE')",0.9802765994694246,0.9968157823955531,0.9873382473382473
"('optical_digits', 'KNN', 'ADASYN')",0.9776093614006882,0.9963781484800543,0.9855036855036856
"('optical_digits', 'KNN', 'Undersampling')",0.9180700150615207,0.9958383206788552,0.9927764127764128
"('optical_digits', 'KNN', 'Oversampling')",0.9827553973292076,0.9924114661463739,0.9800982800982802
"('optical_digits', 'KNN', 'Gamma')",0.9624403417605386,0.995264852594946,0.9873382473382473
"('pen_digits', 'Logistic Regression', 'No Sampling')",0.7522922004748132,0.9712101002439741,0.6644549763033174
"('pen_digits', 'Logistic Regression', 'SMOTE')",0.722238651602993,0.9769958821807453,0.9279620853080569
"('pen_digits', 'Logistic Regression', 'ADASYN')",0.5554094058997338,0.9463057404766291,0.9412322274881516
"('pen_digits', 'Logistic Regression', 'Undersampling')",0.6381168845643007,0.9660312288872397,0.9184834123222748
"('pen_digits', 'Logistic Regression', 'Oversampling')",0.7134515197123421,0.9768804141871577,0.9308056872037914
"('pen_digits', 'Logistic Regression', 'Gamma')",0.7192061502149654,0.976767454223381,0.9270142180094787
"('pen_digits', 'Random Forest', 'No Sampling')",0.9801891545147591,0.9998745464388138,0.9630331753554502
"('pen_digits', 'Random Forest', 'SMOTE')",0.9870521348975926,0.9998838476492541,0.9781990521327014
"('pen_digits', 'Random Forest', 'ADASYN')",0.983199263415775,0.9998599977302953,0.971563981042654
"('pen_digits', 'Random Forest', 'Undersampling')",0.9811819909984638,0.9997994234833243,0.9876777251184834
"('pen_digits', 'Random Forest', 'Oversampling')",0.986581795583788,0.9998859945438883,0.9772511848341232
"('pen_digits', 'Random Forest', 'Gamma')",0.9870499299649996,0.9998802714511787,0.9772511848341232
